65,29
78,31
60,41
60,12
47,15
47.2,35.8
58,29.1
50.15,29.3
55.7,32.3
70.75,31.2
81.55,36
72.5,43.8
65.7,43.6
71.45,21
68.6,17.1
66.95,14.8
75.35,22.2
64.4,51.3
58.1,36.8
54,21
72,14
83,11
82,30
82,36
77,44
72,49
59,47
54,41
54,22
58,19
66,13
75,40
78,35
51,27
83,26
88,21
49,22
85,18
44,19
92,17
42,15
39.5,10
90,12
42,8
47,7
76,14
51,6
56,6
60,7
63.5,6
68,7
72,8
76,8
79.5,9
57,16
79,14
54,17
74,18
46.5,43
44.5,36
71,37
47,39
44,31
74,35
44.5,26
41,22
40,18
75.5,28
35,16
81.5,23
26,13
31,15
22,12
79,17
26.5,9
31,11
35,9
61,23
57,23
22,6
87.5,10
95,13.5
54.5,11
96,17
98,23
53,35
96,29
92,33
90,38
63,25.5
80,46.4
83.5,51
61,54
67,56
73.5,60
75.7,63
58.5,53
74,68
50,54
74,70
46.5,56
68,70
68,65
64.5,64
38,58
39.5,62
44,63
50,58
79,51
82,56
81,64
88,45
92,46
34,41
38,40
43,46
52,47
68.5,43
42,52
47,50
63.5,18
26,18
52.5,115
53,108
52.5,103
52,96
52,90
49.5,83
51,74
50,65
66,98
67.5,94
66,85
68.5,76
67,34
47,97
58,92
68,111
70,106
61.5,103
71.5,91
78,90
59.5,87
55,75
62,74
